Category,Message
ham,Meeting is at 2 in room B12.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Are you coming to college today?
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Meeting is at 12 in room hostel.
spam,"Earn 50,000 per day working from home. Register at http://secure-verify.net"
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,"I'm on the way, will reach in 10 minutes."
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://bit.ly/win-now"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,"Hey, I'll reach by 5 PM. Wait near 101."
ham,Lunch at canteen at 4?
spam,"Claim your cashback of 10,000 rupees. Link: http://bit.ly/win-now"
ham,Lunch at canteen at 4?
ham,"Hey, I'll reach by 2 PM. Wait near 305."
ham,"Hey, I'll reach by 11 PM. Wait near library."
ham,Did you submit the assignment?
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Lunch at canteen at 2?
ham,Did you submit the assignment?
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://kyc-update-online.in"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://secure-verify.net"
ham,Did you submit the assignment?
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Where are you now?
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,"Bro, what time is the lab tomorrow?"
ham,"Hey, I'll reach by 9 PM. Wait near library."
spam,"Earn 50,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,I'll call you in 2 minutes.
ham,Happy birthday! Have a great day 🎉
ham,Did you submit the assignment?
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"Claim your cashback of 1,00,000 rupees. Link: http://bit.ly/win-now"
ham,Send me the PPT for today's seminar.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://kyc-update-online.in"
ham,Send me the PPT for today's seminar.
ham,Don't forget our class at 5 tomorrow.
ham,Happy birthday! Have a great day 🎉
spam,"Earn 1,00,000 per day working from home. Register at http://bit.ly/win-now"
ham,Call me when you're free.
ham,Call me when you're free.
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Where are you now?
ham,"Bro, what time is the lab tomorrow?"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Where are you now?
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://secure-verify.net"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://gift-claim-center.net"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,Where are you now?
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://gift-claim-center.net"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Call me when you're free.
ham,Did you submit the assignment?
spam,"Claim your cashback of 50,000 rupees. Link: http://click-free-prize.com"
spam,"Earn 10,000 per day working from home. Register at http://gift-claim-center.net"
ham,I'll call you in 9 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Send me the PPT for today's seminar.
ham,Send me the PPT for today's seminar.
ham,Did you submit the assignment?
spam,"Earn 10,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,Lunch at canteen at 1?
spam,"Congratulations! You have won 10,000 rupees. Click here: http://secure-verify.net"
ham,Where are you now?
ham,Call me when you're free.
ham,Call me when you're free.
ham,I sent you the notes. Check WhatsApp.
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,"I'm on the way, will reach in 4 minutes."
ham,Happy birthday! Have a great day 🎉
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Are you coming to college today?
ham,Can you share today's attendance code?
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Happy birthday! Have a great day 🎉
ham,Call me when you're free.
ham,Can you share today's attendance code?
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://gift-claim-center.net"
ham,Call me when you're free.
spam,"Win a brand new smartphone! Register here: 50,000"
ham,"Hey, I'll reach by 8 PM. Wait near B12."
ham,Happy birthday! Have a great day 🎉
ham,Don't forget our class at 4 tomorrow.
ham,"I'm on the way, will reach in 1 minutes."
ham,"Hey, I'll reach by 12 PM. Wait near lab."
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
spam,"Earn 1,00,000 per day working from home. Register at http://secure-verify.net"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,"Hey, I'll reach by 11 PM. Wait near 201."
ham,Are you coming to college today?
spam,"Claim your cashback of 50,000 rupees. Link: http://bit.ly/win-now"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,Can you share today's attendance code?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Win a brand new smartphone! Register here: 10,000"
ham,Where are you now?
ham,Lunch at canteen at 2?
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Send me the PPT for today's seminar.
ham,Where are you now?
ham,Don't forget our class at 7 tomorrow.
ham,I'll call you in 6 minutes.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,"I'm on the way, will reach in 7 minutes."
ham,Can you share today's attendance code?
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"Hey, I'll reach by 1 PM. Wait near B12."
spam,"Win a brand new smartphone! Register here: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,Where are you now?
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Where are you now?
spam,"Claim your cashback of 50,000 rupees. Link: http://secure-verify.net"
spam,"Earn 50,000 per day working from home. Register at http://bit.ly/win-now"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://offer-today.xyz"
ham,Where are you now?
spam,"Claim your cashback of 1,00,000 rupees. Link: http://secure-verify.net"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Earn 10,000 per day working from home. Register at http://click-free-prize.com"
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,I'll call you in 9 minutes.
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,I sent you the notes. Check WhatsApp.
ham,Don't forget our class at 8 tomorrow.
ham,"Bro, what time is the lab tomorrow?"
ham,I'll call you in 3 minutes.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
ham,Meeting is at 8 in room C3.
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,"I'm on the way, will reach in 3 minutes."
ham,Can you share today's attendance code?
ham,Happy birthday! Have a great day 🎉
ham,Did you submit the assignment?
ham,Are you coming to college today?
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Send me the PPT for today's seminar.
ham,"Hey, I'll reach by 8 PM. Wait near 101."
ham,Lunch at canteen at 9?
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,I'll call you in 5 minutes.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Call me when you're free.
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://kyc-update-online.in"
ham,"Hey, I'll reach by 9 PM. Wait near B12."
ham,Happy birthday! Have a great day 🎉
ham,"Bro, what time is the lab tomorrow?"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Send me the PPT for today's seminar.
ham,"I'm on the way, will reach in 4 minutes."
spam,"Your KYC has expired. Update immediately at 10,000"
ham,"Hey, I'll reach by 5 PM. Wait near B12."
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Don't forget our class at 11 tomorrow.
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Are you coming to college today?
spam,"Congratulations! You have won 10,000 rupees. Click here: http://secure-verify.net"
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
spam,"Earn 50,000 per day working from home. Register at http://bit.ly/win-now"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,Don't forget our class at 7 tomorrow.
ham,Lunch at canteen at 7?
ham,Did you submit the assignment?
ham,Meeting is at 6 in room hostel.
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,Where are you now?
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
ham,Did you submit the assignment?
ham,I sent you the notes. Check WhatsApp.
spam,"Your KYC has expired. Update immediately at 50,000"
ham,Can you share today's attendance code?
ham,Happy birthday! Have a great day 🎉
ham,Are you coming to college today?
ham,Are you coming to college today?
spam,"Claim your cashback of 1,00,000 rupees. Link: http://click-free-prize.com"
ham,Did you submit the assignment?
ham,I'll call you in 5 minutes.
spam,"Earn 1,00,000 per day working from home. Register at http://click-free-prize.com"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://secure-verify.net"
ham,Happy birthday! Have a great day 🎉
ham,Did you submit the assignment?
ham,Don't forget our class at 4 tomorrow.
ham,"Hey, I'll reach by 6 PM. Wait near B12."
ham,"Hey, I'll reach by 7 PM. Wait near B12."
ham,Are you coming to college today?
ham,Happy birthday! Have a great day 🎉
ham,Send me the PPT for today's seminar.
spam,"Earn 10,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://bit.ly/win-now"
ham,Where are you now?
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Lunch at canteen at 9?
ham,Where are you now?
ham,"Bro, what time is the lab tomorrow?"
ham,Did you submit the assignment?
ham,Lunch at canteen at 1?
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Earn 1,00,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,"Hey, I'll reach by 4 PM. Wait near B12."
ham,Send me the PPT for today's seminar.
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
spam,"Your KYC has expired. Update immediately at 50,000"
ham,Lunch at canteen at 12?
ham,Where are you now?
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Lunch at canteen at 5?
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,"Hey, I'll reach by 5 PM. Wait near 305."
ham,Happy birthday! Have a great day 🎉
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://gift-claim-center.net"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,"Hey, I'll reach by 8 PM. Wait near 101."
ham,Meeting is at 5 in room 305.
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://bit.ly/win-now"
spam,"Claim your cashback of 1,00,000 rupees. Link: http://bit.ly/win-now"
ham,"I'm on the way, will reach in 10 minutes."
ham,Call me when you're free.
ham,Can you share today's attendance code?
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://kyc-update-online.in"
ham,"Bro, what time is the lab tomorrow?"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Are you coming to college today?
ham,Can you share today's attendance code?
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
spam,"Earn 50,000 per day working from home. Register at http://click-free-prize.com"
ham,Happy birthday! Have a great day 🎉
ham,Happy birthday! Have a great day 🎉
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Did you submit the assignment?
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Are you coming to college today?
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Meeting is at 1 in room college gate.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,Lunch at canteen at 2?
spam,"Congratulations! You have won 50,000 rupees. Click here: http://offer-today.xyz"
ham,Where are you now?
spam,"Congratulations! You have won 50,000 rupees. Click here: http://bit.ly/win-now"
spam,"Earn 1,00,000 per day working from home. Register at http://secure-verify.net"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://bit.ly/win-now"
ham,Happy birthday! Have a great day 🎉
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Call me when you're free.
ham,Where are you now?
ham,"I'm on the way, will reach in 2 minutes."
ham,Are you coming to college today?
spam,"Earn 50,000 per day working from home. Register at http://secure-verify.net"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Congratulations! You have won 50,000 rupees. Click here: http://secure-verify.net"
ham,Lunch at canteen at 11?
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,I'll call you in 8 minutes.
ham,Where are you now?
ham,Did you submit the assignment?
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Earn 10,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Claim your cashback of 50,000 rupees. Link: http://click-free-prize.com"
ham,Are you coming to college today?
ham,Call me when you're free.
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Lunch at canteen at 7?
ham,I sent you the notes. Check WhatsApp.
ham,Meeting is at 8 in room library.
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Where are you now?
spam,"Congratulations! You have won 50,000 rupees. Click here: http://secure-verify.net"
ham,Lunch at canteen at 6?
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Can you share today's attendance code?
ham,Can you share today's attendance code?
ham,"Hey, I'll reach by 10 PM. Wait near lab."
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://kyc-update-online.in"
ham,I sent you the notes. Check WhatsApp.
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Call me when you're free.
ham,Did you submit the assignment?
ham,"Hey, I'll reach by 3 PM. Wait near hostel."
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Call me when you're free.
ham,"Bro, what time is the lab tomorrow?"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,Are you coming to college today?
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Did you submit the assignment?
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Earn 10,000 per day working from home. Register at http://kyc-update-online.in"
ham,I sent you the notes. Check WhatsApp.
ham,Send me the PPT for today's seminar.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Don't forget our class at 7 tomorrow.
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Can you share today's attendance code?
ham,"Bro, what time is the lab tomorrow?"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Meeting is at 4 in room canteen.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Send me the PPT for today's seminar.
ham,Where are you now?
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Did you submit the assignment?
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Are you coming to college today?
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://kyc-update-online.in"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,"I'm on the way, will reach in 9 minutes."
ham,Did you submit the assignment?
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://click-free-prize.com"
ham,Where are you now?
ham,Meeting is at 6 in room lab.
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://gift-claim-center.net"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,"I'm on the way, will reach in 4 minutes."
ham,Can you share today's attendance code?
ham,Call me when you're free.
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://gift-claim-center.net"
ham,I'll call you in 10 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Lunch at canteen at 3?
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,I'll call you in 7 minutes.
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Can you share today's attendance code?
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Are you coming to college today?
ham,"Bro, what time is the lab tomorrow?"
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Can you share today's attendance code?
ham,Call me when you're free.
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
spam,"Win a brand new smartphone! Register here: 50,000"
ham,Lunch at canteen at 1?
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Lunch at canteen at 9?
ham,Did you submit the assignment?
ham,Are you coming to college today?
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://kyc-update-online.in"
ham,Happy birthday! Have a great day 🎉
ham,"Bro, what time is the lab tomorrow?"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,"I'm on the way, will reach in 1 minutes."
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Where are you now?
ham,Call me when you're free.
ham,Can you share today's attendance code?
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
ham,I'll call you in 8 minutes.
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,Don't forget our class at 7 tomorrow.
ham,Meeting is at 12 in room library.
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,"Hey, I'll reach by 5 PM. Wait near C3."
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,"I'm on the way, will reach in 5 minutes."
ham,"I'm on the way, will reach in 1 minutes."
spam,"Congratulations! You have won 10,000 rupees. Click here: http://kyc-update-online.in"
spam,"Earn 10,000 per day working from home. Register at http://click-free-prize.com"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://secure-verify.net"
ham,Lunch at canteen at 6?
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Don't forget our class at 11 tomorrow.
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://gift-claim-center.net"
spam,"Congratulations! You have won 10,000 rupees. Click here: http://offer-today.xyz"
ham,Happy birthday! Have a great day 🎉
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
ham,Are you coming to college today?
ham,I sent you the notes. Check WhatsApp.
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Are you coming to college today?
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://click-free-prize.com"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://gift-claim-center.net"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Meeting is at 3 in room C3.
spam,"Earn 10,000 per day working from home. Register at http://secure-verify.net"
ham,"Bro, what time is the lab tomorrow?"
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://bit.ly/win-now"
ham,Can you share today's attendance code?
ham,Lunch at canteen at 10?
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Did you submit the assignment?
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Can you share today's attendance code?
ham,Did you submit the assignment?
ham,I sent you the notes. Check WhatsApp.
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Happy birthday! Have a great day 🎉
ham,Meeting is at 1 in room library.
spam,"Your KYC has expired. Update immediately at 50,000"
ham,I'll call you in 5 minutes.
ham,Send me the PPT for today's seminar.
ham,"Bro, what time is the lab tomorrow?"
ham,Did you submit the assignment?
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Congratulations! You have won 10,000 rupees. Click here: http://click-free-prize.com"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,I'll call you in 6 minutes.
ham,Lunch at canteen at 6?
ham,I'll call you in 2 minutes.
ham,Meeting is at 10 in room canteen.
ham,"I'm on the way, will reach in 11 minutes."
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,Don't forget our class at 3 tomorrow.
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,"I'm on the way, will reach in 2 minutes."
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Are you coming to college today?
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Where are you now?
ham,Don't forget our class at 5 tomorrow.
ham,"Bro, what time is the lab tomorrow?"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Meeting is at 11 in room college gate.
ham,I'll call you in 12 minutes.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://click-free-prize.com"
ham,Meeting is at 11 in room B12.
ham,I'll call you in 2 minutes.
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://kyc-update-online.in"
ham,Where are you now?
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
ham,Send me the PPT for today's seminar.
ham,Lunch at canteen at 3?
